sub_id,branch,branch_short,branch_id,subject_name,sem,common_name
,Information technology,IT,3,Analysis of algorithms and complexity Lab,4,sem2_sub7
,Information technology,IT,3,Database Management System Lab ,4,sem2_sub8
,Information technology,IT,3,Object oriented Programming Lab,4,sem2_sub9
,Information technology,IT,3,Systems and Software lab,4,sem2_sub10
,Information technology,IT,3,Artifitial Intelligence,5,sem3_sub1
,Information technology,IT,3,Communication skills 2,5,sem3_sub2
,Information technology,IT,3,Discrete time signal processing,5,sem3_sub3
,Information technology,IT,3,Object oriented Method Design,5,sem3_sub4
,Information technology,IT,3,Environment Studies,5,sem3_sub5
,Information technology,IT,3,Microprocessor and microcontroller,5,sem3_sub6
,Information technology,IT,3,Machine Learning,5,sem3_sub7
,Information technology,IT,3,Discrete time signal processing Lab,5,sem3_sub8
,Information technology,IT,3,Microprocessor and microcontroller Lab,5,sem3_sub9
,Information technology,IT,3,UML with Jana,5,sem3_sub10
,Computer science and technology,CST,4,Computer oriented Numerical methods,3,sem1_sub1
,Computer science and technology,CST,4,Digital logic circuits,3,sem1_sub2
,Computer science and technology,CST,4,Discrete Structure,3,sem1_sub3
,Computer science and technology,CST,4,Data Structure File Processing,3,sem1_sub4
,Computer science and technology,CST,4,Engineering maths 3,3,sem1_sub5
,Computer science and technology,CST,4,Principle of communication engineering,3,sem1_sub6
,Computer science and technology,CST,4,Computer oriented Numerical methods Lab,3,sem1_sub7
,Computer science and technology,CST,4,Digital logic circuits Lab,3,sem1_sub8
,Computer science and technology,CST,4,Data Structure File Processing Lab,3,sem1_sub9
,Computer science and technology,CST,4,Principle of communication engineering lab,3,sem1_sub10
,Computer science and technology,CST,4,Analysis of algorithms and complexity,4,sem2_sub1
,Computer science and technology,CST,4,Probability and random theory,4,sem2_sub2
,Computer science and technology,CST,4,Database Management System,4,sem2_sub3
,Computer science and technology,CST,4,Computer architecture orgnisation ,4,sem2_sub4
,Computer science and technology,CST,4,Object oriented Programming,4,sem2_sub5
,Computer science and technology,CST,4,Operationg systems,4,sem2_sub6
,Computer science and technology,CST,4,Analysis of algorithms and complexity Lab,4,sem2_sub7
,Computer science and technology,CST,4,Database Management System Lab ,4,sem2_sub8
,Computer science and technology,CST,4,Object oriented Programming Lab,4,sem2_sub9
,Computer science and technology,CST,4,Operationg systems lab,4,sem2_sub10
,Computer science and technology,CST,4,Computer networks,5,sem3_sub1
,Computer science and technology,CST,4,Communication skills 2,5,sem3_sub2
,Computer science and technology,CST,4,Discrete time signal processing,5,sem3_sub3
,Computer science and technology,CST,4,Object oriented Method Design,5,sem3_sub4
,Computer science and technology,CST,4,Environment Studies,5,sem3_sub5
,Computer science and technology,CST,4,Microprocessor and microcontroller,5,sem3_sub6
,Computer science and technology,CST,4,Computer networks lab,5,sem3_sub7
,Computer science and technology,CST,4,Discrete time signal processing Lab,5,sem3_sub8
,Computer science and technology,CST,4,Microprocessor and microcontroller Lab,5,sem3_sub9
,Computer science and technology,CST,4,UML with Jana,5,sem3_sub10
